iter	Logloss
0	0.6707784369
1	0.6478184233
2	0.6280894584
3	0.6044612641
4	0.5853618865
5	0.5632360742
6	0.5428649415
7	0.5225483509
8	0.5033514956
9	0.4851741385
10	0.4665838201
11	0.4484481812
12	0.4351511204
13	0.4188121633
14	0.4041657143
15	0.3897497299
16	0.3754910002
17	0.364316291
18	0.3518597217
19	0.3389941479
20	0.3258443792
21	0.3123888665
22	0.302846381
23	0.2914862937
24	0.2810249329
25	0.2714013039
26	0.2614753398
27	0.2520621685
28	0.244285827
29	0.2371868377
30	0.2285977019
31	0.2207289554
32	0.2138354525
33	0.2062649828
34	0.1993462786
35	0.1927172478
36	0.1868811668
37	0.1802111889
38	0.1741885124
39	0.1683841665
40	0.1633654148
41	0.1579684907
42	0.1524515964
43	0.1473650831
44	0.1427689512
45	0.1383332192
46	0.1338270269
47	0.1292747538
48	0.1253318482
49	0.1210935978
50	0.1174881712
51	0.1136084415
52	0.1099716146
53	0.1064360903
54	0.1032435843
55	0.1000007771
56	0.09681673253
57	0.09390968972
58	0.09122745027
59	0.08906801711
60	0.08682325039
61	0.08402838606
62	0.08144653097
63	0.07906668744
64	0.07681988148
65	0.07446395083
66	0.07228429267
67	0.07013762251
68	0.0681492217
69	0.06665838526
70	0.06458764381
71	0.06274805678
72	0.06102866315
73	0.05935408207
74	0.05768639991
75	0.05609502184
76	0.05463296809
77	0.05313586174
78	0.05177504966
79	0.0503433816
80	0.04893109139
81	0.04756068676
82	0.04632247762
83	0.04510443261
84	0.04392848116
85	0.04287171364
86	0.04179566972
87	0.04079428632
88	0.03979648935
89	0.03888925086
90	0.03796041773
91	0.03706367472
92	0.0361379664
93	0.03510663357
94	0.03427144314
95	0.03340575543
96	0.03259063782
97	0.03184118677
98	0.03119093053
99	0.03055291734
100	0.02990463186
101	0.02922694227
102	0.02856292623
103	0.0279774818
104	0.02727765733
105	0.02667649249
106	0.02611955176
107	0.02555653136
108	0.0250375144
109	0.02446963939
110	0.02394847667
111	0.02340501674
112	0.02291228162
113	0.02240522872
114	0.02189850046
115	0.02147564482
116	0.02101807138
117	0.02060321417
118	0.02018092161
119	0.01979844114
120	0.01943397395
121	0.01906791139
122	0.01871021758
123	0.01829283035
124	0.01793905776
125	0.01759101989
126	0.0173136427
127	0.01694784012
128	0.01664425591
129	0.01633876816
130	0.01600720781
131	0.01568000621
132	0.01537294591
133	0.01507316625
134	0.0148210665
135	0.01460463443
136	0.01434108298
137	0.01408174951
138	0.01385201545
139	0.01359506998
140	0.01335142775
141	0.0131101101
142	0.01288946639
143	0.01266428765
144	0.01243576598
145	0.01223467766
146	0.01203381254
147	0.01184443844
148	0.01163813916
149	0.01144958303
150	0.01124415753
151	0.01106074516
152	0.01086957404
153	0.01070729722
154	0.01052647512
155	0.01036271263
156	0.01019939273
157	0.01004772237
158	0.009885132313
159	0.009714311742
160	0.009567811134
161	0.009434325264
162	0.009285106304
163	0.009150988878
164	0.009018071154
165	0.008876626162
166	0.008751075953
167	0.008624520074
168	0.008503263301
169	0.008373006861
170	0.008232168695
171	0.008112563732
172	0.007996237024
173	0.007889012707
174	0.007776602786
175	0.007673645907
176	0.007575754156
177	0.007464252888
178	0.007366861435
179	0.00727240773
180	0.007173961781
181	0.007073576146
182	0.006980000658
183	0.006879129942
184	0.006794172399
185	0.006699664162
186	0.006617258838
187	0.006529397153
188	0.006448584668
189	0.006373017392
